spacing,woodType,woodGrade,2*6,2*8,2*10,2*12,DL,;
,,,,,,,,
12,Douglas fir-larch,SS,12-6,16-6,21-0,25-7,10,;
12,Douglas fir-larch,#1,12-0,15-10,20-3,24-8,10,;
12,Douglas fir-larch,#2,11-10,15-7,19-10,23-0,10,;
12,Douglas fir-larch,#3,9-8,12-4,15-0,17-5,10,;
,,,,,,,,
12,Hem-fir,SS,11-10,15-7,19-10,24-2,10,;
12,Hem-fir,#1,11-7,15-3,19-5,23-7,10,;
12,Hem-fir,#2,11-0,14-6,18-6,22-6,10,;
12,Hem-fir,#3,9-8,12-4,15-0,17-5,10,;
,,,,,,,,
12,Southern pine,SS,12-3,16-2,20-8,25-1,10,;
12,Southern pine,#1,12-0,15-10,20-3,24-8,10,;
12,Southern pine,#2,11-10,15-7,19-10,24-2,10,;
12,Southern pine,#3,10-5,13-3,15-8,18-8,10,;
,,,,,,,,
12,Spruce-pine-fir,SS,11-7,15-3,19-5,23-7,10,;
12,Spruce-pine-fir,#1,11-3,14-11,19-0,23-0,10,;
12,Spruce-pine-fir,#2,11-3,14-11,19-0,23-0,10,;
12,Spruce-pine-fir,#3,9-8,12-4,15-0,17-5,10,;
,,,,,,,,
16,Douglas fir-larch,SS,11-4,15-0,19-1,23-3,10,;
16,Douglas fir-larch,#1,10-11,14-5,18-5,21-4,10,;
16,Douglas fir-larch,#2,10-9,14-1,17-2,19-11,10,;
16,Douglas fir-larch,#3,8-5,10-8,13-0,15-1,10,;
,,,,,,,,
16,Hem-fir,SS,10-9,14-2,18-0,21-11,10,;
16,Hem-fir,#1,10-6,13-10,17-8,20-9,10,;
16,Hem-fir,#2,10-0,13-2,16-10,19-8,10,;
16,Hem-fir,#3,8-5,10-8,13-0,15-1,10,;
,,,,,,,,
16,Southern pine,SS,11-2,14-8,18-9,22-10,10,;
16,Southern pine,#1,10-11,14-5,18-5,22-5,10,;
16,Southern pine,#2,10-9,14-2,18-0,21-1,10,;
16,Southern pine,#3,9-0,11-6,13-7,16-2,10,;
,,,,,,,,
16,Spruce-pine-fir,SS,10-6,13-10,17-8,21-6,10,;
16,Spruce-pine-fir,#1,10-3,13-6,17-2,19-11,10,;
16,Spruce-pine-fir,#2,10-3,13-6,17-2,19-11,10,;
16,Spruce-pine-fir,#3,8-5,10-8,13-0,15-1,10,;
,,,,,,,,
19.2,Douglas fir-larch,SS,10-8,14-1,18-0,21-10,10,;
19.2,Douglas fir-larch,#1,10-4,13-7,16-9,19-6,10,;
19.2,Douglas fir-larch,#2,10-1,12-10,15-8,18-3,10,;
19.2,Douglas fir-larch,#3,7-8,9-9,11-10,13-9,10,;
,,,,,,,,
